Company Name,Title,Location,Stipend,Work From Home
Jankalyan Multipurpose Education Society,Business Development (Sales),Work From Home,Unpaid,Yes
BeePrecise,Full Stack Development - Mobile And Web Application,Delhi,"₹ 12,500 /month",No
Muskurahat Foundation,Fundraising,Gurgaon,"₹ 5,000-10,000 lump sum",No
Muskurahat Foundation,Volunteering,Hyderabad,"₹ 5,000-10,000 lump sum",No
Muskurahat Foundation,Summer Internship (Social Sector),Work From Home,"₹ 5,000-10,000 lump sum",Yes
Muskurahat Foundation,Crowdfunding,Work From Home,"₹ 5,000-10,000 lump sum",Yes
She Can Foundation,Social Entrepreneurship,Bangalore,Unpaid,No
Go Digital Technology Consulting,Angular Development,Work From Home,"₹ 15,000 /month",Yes
Gamestack.in,Growth - Gaming Business,Work From Home,"₹ 8,000-12,000 /month",Yes
Sarvam Foundation,English (Teaching),Work From Home,Unpaid,Yes
Softusvista,Chemical Engineering - SME For Calculatoratoz.com,Work From Home,"₹ 4,800 /month",Yes
Marpu Foundation,Recruitment,Work From Home,Unpaid,Yes
Ulead,Strategic Leading,Mumbai,"₹ 1,000-2,000 /month",No
Institut Francais Pvt Ltd,French Language,Gurgaon,"₹ 5,000 /month",No
Special Situation Advisors India Private Limited,Mentoring (Youth),Work From Home,"₹ 1,000-2,000 /month",Yes
Kaholas,React Development,Work From Home,"₹ 12,000-14,000 /month",Yes
Kaholas,Backend Development,Work From Home,"₹ 12,000-14,000 /month",Yes
Karyarth Consultants,B2B Sales,Work From Home,"₹ 5,000-8,000 /month",Yes
QA Solvers,Physics Video Solutions (English),Work From Home,"₹ 8,000-15,000 /month",Yes
Ulead,General Management And Marketing,Work From Home,"₹ 1,000-2,000 /month",Yes
Odavaas Lifestyle Private Limited,Product Marketing (Sales/Marketing) – Males Only,Delhi,"₹ 9,000 /month",No
Social Blow Up,Sales Consulting,Delhi,"₹ 8,000 /month",No
Nayan Kumar Keshri,Business Development,Work From Home,"₹ 7,500 /month",Yes
Eduminatti,Video Making/Editing,Work From Home,"₹ 4,000 /month",Yes
Nerdy Academy,Business Development (Sales),Work From Home,"₹ 8,000-25,000 /month",Yes
VANRS-P,Customer Acquisition,Delhi,"₹ 8,000 /month",No
Quantastic Marketing,Video Making/Editing,Pune,"₹ 8,000-10,000 /month",No
EduNation Consultants,Backend Operations,Bangalore,"₹ 7,000-9,000 /month",No
Social Blow Up,Video Making/Editing,Mumbai,"₹ 5,000 /month",No
Aitra Development Private Limited,Operations,Hyderabad,"₹ 15,000-18,000 /month",No
Brainex Media,Search Engine Optimization (SEO),Andhra Pradesh,"₹ 6,000-12,000 /month",No
Nerdy Academy,Business Development (Sales),Dehradun,"₹ 8,000-25,000 /month",No
Social Blow Up,Journalism,Ranchi,"₹ 5,000 /month",No
ServerGuy,Business Development,Dehradun,"₹ 12,000 /month",No
Social Blow Up,Content Writing,Bhilai,"₹ 5,000 /month",No
Zero Dimensions,Search Engine Optimization (SEO),Durg,"₹ 5,000-10,000 /month",No
Eta Solution,Search Engine Optimization (SEO),Nagpur,"₹ 5,000-8,000 /month",No
DataChannel Technologies,Business Development (Sales),Thane,"₹ 15,000 /month",No
Aitra Development Private Limited,Client Servicing,Faridabad,"₹ 12,000-15,000 /month",No
Gobabygo (OPC) Private Limited,Videography,Dehradun,"₹ 5,000 /month",No
Innvictis Edutech,Tele-Counseling,Dehradun,"₹ 5,000 /month +  Incentives",No
Livofy,Business Development (Sales),Chandigarh,"₹ 10,000 /month",No
Social Blow Up,Search Engine Optimization (SEO),Mohali,"₹ 5,000 /month",No
Relinns Technologies,Business Development,Zirakpur,"₹ 8,000 /month",No
Innovative Gifts LLP,Search Engine Optimization (SEO),Dera Bassi,"₹ 5,000-8,000 /month",No
Spell Marketing,Graphic Design,Panchkula,"₹ 10,000 /month",No
Asn Publication,Business Development (Sales),Raipur,"₹ 8,000-12,000 /month",No
Nerdy Academy,Business Development (Sales),Dehradun,"₹ 8,000-25,000 /month",No
Captain $ales,Business Development (Corporate Sales),Noida,"₹ 5,000 /month",No
